earliest_priority,application_number,inpadoc_family_members,family_country,family_date,family_consolidated
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CN1630834A 20050622,CN,2005-06-22,CN1630834
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CN1638967A 20050713,CN,2005-07-13,CN1638967
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CN1642741A 20050720,CN,2005-07-20,CN1642741
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL153526A 20051120,IL,2005-11-20,IL153526
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160172A 20070724,IL,2007-07-24,IL160172
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160173A 20060611,IL,2006-06-11,IL160173
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160174A 20060410,IL,2006-04-10,IL160174
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160175A 20060611,IL,2006-06-11,IL160175
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160176A 20060820,IL,2006-08-20,IL160176
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160256A 20060820,IL,2006-08-20,IL160256
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160257A 20060820,IL,2006-08-20,IL160257
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160258A 20061005,IL,2006-10-05,IL160258
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160259A 20080413,IL,2008-04-13,IL160259
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160263A 20060705,IL,2006-07-05,IL160263
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160622A 20060611,IL,2006-06-11,IL160622
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160636A 20060705,IL,2006-07-05,IL160636
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL161088A 20070724,IL,2007-07-24,IL161088
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL163157A 20100616,IL,2010-06-16,IL163157
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164410A 20061005,IL,2006-10-05,IL164410
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164445A 20061031,IL,2006-10-31,IL164445
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164446A 20061210,IL,2006-12-10,IL164446
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164447A 20070617,IL,2007-06-17,IL164447
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164448A 20061031,IL,2006-10-31,IL164448
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164503A 20070724,IL,2007-07-24,IL164503
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164504A 20061031,IL,2006-10-31,IL164504
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164782A 20061031,IL,2006-10-31,IL164782
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164924A 20070603,IL,2007-06-03,IL164924
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164930A 20061031,IL,2006-10-31,IL164930
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164931A 20061031,IL,2006-10-31,IL164931
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL168177A 20080605,IL,2008-06-05,IL168177
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL174357A 20081103,IL,2008-11-03,IL174357
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL174358A 20080807,IL,2008-08-07,IL174358
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2001510107A 20010731,JP,2001-07-31,JP2001510107
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2001510913A 20010807,JP,2001-08-07,JP2001510913
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2001523900A 20011127,JP,2001-11-27,JP2001523900
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2002510534A 20020409,JP,2002-04-09,JP2002510534
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2002527272A 20020827,JP,2002-08-27,JP2002527272
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2003521389A 20030715,JP,2003-07-15,JP2003521389
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2004501010A 20040115,JP,2004-01-15,JP2004501010
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2004536735A 20041209,JP,2004-12-09,JP2004536735
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2004536736A 20041209,JP,2004-12-09,JP2004536736
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2005500189A 20050106,JP,2005-01-06,JP2005500189
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2005500190A 20050106,JP,2005-01-06,JP2005500190
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2005503950A 20050210,JP,2005-02-10,JP2005503950
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2005517293A 20050609,JP,2005-06-09,JP2005517293
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2007062379A 20070315,JP,2007-03-15,JP2007062379
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2007062380A 20070315,JP,2007-03-15,JP2007062380
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2007062381A 20070315,JP,2007-03-15,JP2007062381
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2007062382A 20070315,JP,2007-03-15,JP2007062382
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2007062383A 20070315,JP,2007-03-15,JP2007062383
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2009010979A 20090115,JP,2009-01-15,JP2009010979
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2009022020A 20090129,JP,2009-01-29,JP2009022020
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2009044740A 20090226,JP,2009-02-26,JP2009044740
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2009065654A 20090326,JP,2009-03-26,JP2009065654
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2009081842A 20090416,JP,2009-04-16,JP2009081842
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2009149101A 20090709,JP,2009-07-09,JP2009149101
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2009149102A 20090709,JP,2009-07-09,JP2009149102
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2009149103A 20090709,JP,2009-07-09,JP2009149103
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2009149104A 20090709,JP,2009-07-09,JP2009149104
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2009149105A 20090709,JP,2009-07-09,JP2009149105
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP2009184358A 20090820,JP,2009-08-20,JP2009184358
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2004029130A 20040403,KR,2004-04-03,KR2004029130
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2004033322A 20040421,KR,2004-04-21,KR2004033322
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2004043186A 20040522,KR,2004-05-22,KR2004043186
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2004045421A 20040601,KR,2004-06-01,KR2004045421
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2004045427A 20040601,KR,2004-06-01,KR2004045427
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2004053107A 20040623,KR,2004-06-23,KR2004053107
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2004099430A 20041126,KR,2004-11-26,KR2004099430
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2004101435A 20041202,KR,2004-12-02,KR2004101435
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2005000383A 20050103,KR,2005-01-03,KR2005000383
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2005000385A 20050103,KR,2005-01-03,KR2005000385
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2005000387A 20050103,KR,2005-01-03,KR2005000387
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2005000388A 20050103,KR,2005-01-03,KR2005000388
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2005000395A 20050103,KR,2005-01-03,KR2005000395
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2005006226A 20050115,KR,2005-01-15,KR2005006226
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2005023250A 20050309,KR,2005-03-09,KR2005023250
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2007050503A 20070515,KR,2007-05-15,KR2007050503
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2008029015A 20080402,KR,2008-04-02,KR2008029015
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR2009024278A 20090306,KR,2009-03-06,KR2009024278
AU19977991A 1997-07-15,JP200944799A 2009-02-26,NZ531182A 20050729,NZ,2005-07-29,NZ531182
AU19977991A 1997-07-15,JP200944799A 2009-02-26,NZ531183A 20050826,NZ,2005-08-26,NZ531183
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200210024B 20030730,ZA,2003-07-30,ZA200210024
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200400864B 20041006,ZA,2004-10-06,ZA200400864
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200400865B 20041005,ZA,2004-10-05,ZA200400865
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200400866B 20041005,ZA,2004-10-05,ZA200400866
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200400867B 20041005,ZA,2004-10-05,ZA200400867
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200400868B 20041006,ZA,2004-10-06,ZA200400868
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200400869B 20041007,ZA,2004-10-07,ZA200400869
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200401204B 20041011,ZA,2004-10-11,ZA200401204
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200401205B 20041022,ZA,2004-10-22,ZA200401205
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200401206B 20041022,ZA,2004-10-22,ZA200401206
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200401207B 20041022,ZA,2004-10-22,ZA200401207
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200401824B 20050503,ZA,2005-05-03,ZA200401824
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200401827B 20050503,ZA,2005-05-03,ZA200401827
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200401829B 20050503,ZA,2005-05-03,ZA200401829
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200408129B 20050705,ZA,2005-07-05,ZA200408129
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200408130B 20050705,ZA,2005-07-05,ZA200408130
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200408132B 20050705,ZA,2005-07-05,ZA200408132
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200408133B 20050705,ZA,2005-07-05,ZA200408133
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200408134B 20050705,ZA,2005-07-05,ZA200408134
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200408136B 20050705,ZA,2005-07-05,ZA200408136
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200408137B 20050705,ZA,2005-07-05,ZA200408137
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200408138B 20050705,ZA,2005-07-05,ZA200408138
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200408140B 20050705,ZA,2005-07-05,ZA200408140
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200408142B 20050706,ZA,2005-07-06,ZA200408142
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200408144B 20050706,ZA,2005-07-06,ZA200408144
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200408147B 20050706,ZA,2005-07-06,ZA200408147
AU19977991A 1997-07-15,JP200944799A 2009-02-26,ZA200500542B 20071227,ZA,2007-12-27,ZA200500542
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2000253731A1 20020411,AU,2002-04-11,AU2000253731
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2000253731B2 20041111,AU,2004-11-11,AU2000253731
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2001231441B2 20040205,AU,2004-02-05,AU2001231441
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002301824B2 20040422,AU,2004-04-22,AU2002301824
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002301825B2 20041111,AU,2004-11-11,AU2002301825
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002301827B2 20050407,AU,2005-04-07,AU2002301827
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002301829B2 20041111,AU,2004-11-11,AU2002301829
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002301831B2 20040520,AU,2004-05-20,AU2002301831
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002301832B2 20040701,AU,2004-07-01,AU2002301832
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002301833B2 20041111,AU,2004-11-11,AU2002301833
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002301834B2 20041125,AU,2004-11-25,AU2002301834
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002301835B2 20041111,AU,2004-11-11,AU2002301835
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002301836B2 20050407,AU,2005-04-07,AU2002301836
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002301837B2 20040520,AU,2004-05-20,AU2002301837
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002301938B2 20040701,AU,2004-07-01,AU2002301938
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002304985A1 20031027,AU,2003-10-27,AU2002304985
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002304985B2 20050901,AU,2005-09-01,AU2002304985
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002304986B2 20050414,AU,2005-04-14,AU2002304986
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002304987A1 20031027,AU,2003-10-27,AU2002304987
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002304987B2 20050811,AU,2005-08-11,AU2002304987
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002304988A1 20031027,AU,2003-10-27,AU2002304988
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002304988B2 20050922,AU,2005-09-22,AU2002304988
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002304988B8 20111013,AU,2011-10-13,AU2002304988
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002304989A1 20031027,AU,2003-10-27,AU2002304989
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002304989B2 20050811,AU,2005-08-11,AU2002304989
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002304992A1 20031027,AU,2003-10-27,AU2002304992
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002304992B2 20050929,AU,2005-09-29,AU2002304992
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002317029B2 20041021,AU,2004-10-21,AU2002317029
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002317030B2 20041021,AU,2004-10-21,AU2002317030
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002317629B2 20050414,AU,2005-04-14,AU2002317629
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002317630B2 20050526,AU,2005-05-26,AU2002317630
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002317636B2 20041028,AU,2004-10-28,AU2002317636
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002318973A1 20030617,AU,2003-06-17,AU2002318973
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002319007B2 20041021,AU,2004-10-21,AU2002319007
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002319008B2 20041021,AU,2004-10-21,AU2002319008
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002319009B2 20051027,AU,2005-10-27,AU2002319009
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002323712A2 20030403,AU,2003-04-03,AU2002323712
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002323712B2 20060216,AU,2006-02-16,AU2002323712
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002325070B2 20051027,AU,2005-10-27,AU2002325070
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002325078A1 20040106,AU,2004-01-06,AU2002325078
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002325078B2 20060302,AU,2006-03-02,AU2002325078
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002325636A1 20040119,AU,2004-01-19,AU2002325636
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002325636B2 20051117,AU,2005-11-17,AU2002325636
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002325637A1 20031027,AU,2003-10-27,AU2002325637
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002325637B2 20050901,AU,2005-09-01,AU2002325637
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002325640A1 20031027,AU,2003-10-27,AU2002325640
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002325640B2 20070125,AU,2007-01-25,AU2002325640
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002325641A1 20030902,AU,2003-09-02,AU2002325641
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002325641B2 20051215,AU,2005-12-15,AU2002325641
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002328661A1 20040119,AU,2004-01-19,AU2002328661
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002328661B2 20050908,AU,2005-09-08,AU2002328661
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002328663A1 20031110,AU,2003-11-10,AU2002328663
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002328663B2 20050929,AU,2005-09-29,AU2002328663
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002331409A1 20040119,AU,2004-01-19,AU2002331409
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002331409B2 20050929,AU,2005-09-29,AU2002331409
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002344712B2 20041021,AU,2004-10-21,AU2002344712
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2002344713B2 20041021,AU,2004-10-21,AU2002344713
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2004203503A1 20040819,AU,2004-08-19,AU2004203503
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2004203503B2 20060504,AU,2006-05-04,AU2004203503
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2004203658A1 20040902,AU,2004-09-02,AU2004203658
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2004203658B2 20060511,AU,2006-05-11,AU2004203658
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2004214593A1 20041014,AU,2004-10-14,AU2004214593
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2004214593B2 20050609,AU,2005-06-09,AU2004214593
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2004222733A1 20041111,AU,2004-11-11,AU2004222733
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2004222733B2 20050609,AU,2005-06-09,AU2004222733
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005200470A1 20050224,AU,2005-02-24,AU2005200470
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005200470B2 20050616,AU,2005-06-16,AU2005200470
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005200483A1 20050224,AU,2005-02-24,AU2005200483
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005200483B2 20050630,AU,2005-06-30,AU2005200483
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005200484A1 20050224,AU,2005-02-24,AU2005200484
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005200484B2 20050915,AU,2005-09-15,AU2005200484
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005200485A1 20050224,AU,2005-02-24,AU2005200485
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005200485B2 20060511,AU,2006-05-11,AU2005200485
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005200488A1 20050224,AU,2005-02-24,AU2005200488
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005200488B2 20050714,AU,2005-07-14,AU2005200488
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005202921A1 20050721,AU,2005-07-21,AU2005202921
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005202921B2 20060316,AU,2006-03-16,AU2005202921
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005202922A1 20050721,AU,2005-07-21,AU2005202922
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005202922B2 20061019,AU,2006-10-19,AU2005202922
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005202931A1 20050721,AU,2005-07-21,AU2005202931
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU2005202931B2 20060511,AU,2006-05-11,AU2005202931
